gene	average
SH3BP5	7.965446
HLA-DRA	8.051259
PHGDH	6.8085
NFKBIA	8.553969
FSD1	5.3547726
HPRT1	8.049901
COPS7A	7.1481123
NCK1	7.5522304
KCNK1	6.443691
TXNRD1	8.212306
STAMBP	7.4250793
PRPF4	7.395502
MAP3K4	7.2957344
HSPA8	10.013448
NMT1	7.644984
USP1	8.196342
ARHGEF12	7.9617457
RALGDS	7.3552933
JPT2	7.85416
MYLK	7.3364635
LYN	7.6778293
DMTF1	7.438051
GAPDH	10.291955
TBC1D9B	7.4891167
LRPAP1	7.6669607
PTPN12	7.8738756
BLMH	6.704667
NUP88	7.5939703
KDELR2	8.54462
BLVRA	7.783081
NUSAP1	7.455948
TXNL4B	6.5755086
DDR1	7.4676356
TMEM109	7.2423983
DCTD	7.4300394
RPA3	7.7036157
CXCL2	6.245582
HOOK2	6.3504105
WFS1	6.6428494
TIPARP	7.567868
RUVBL1	6.9841766
NNT	7.158392
SCAND1	7.5857234
ARID4B	8.017529
LIG1	6.4287744
CREG1	8.452288
MMP2	6.7199726
PRKX	6.1177998
SNAP25	5.7249045
ANKRD10	7.8792624
TRAK2	7.487445
GRB7	5.575815
PFKL	7.063009
TP53BP1	7.2018824
IER3	8.034065
CYTH1	7.225893
SCCPDH	7.2641077
CEP57	7.484961
CCNB1	6.8983173
FOXO4	5.8251715
PLSCR1	8.0405035
TATDN2	7.310405
DYNLT3	7.953411
PAN2	6.6399016
ZMIZ1	8.112144
SHC1	8.377585
MTERF3	7.25398
C2CD5	7.7358227
NVL	6.3777304
SHB	6.4022865
DHDDS	6.7226725
BIRC5	6.8070292
PIP4K2B	7.0215793
MTA1	7.3903418
TM9SF3	8.656353
SLC37A4	6.602756
PSMD10	7.9568205
GSTZ1	6.3402534
CEBPA	6.5016975
GADD45B	7.6669974
CHAC1	5.501097
TOMM34	6.9371057
ARHGAP1	8.360696
CXCR4	8.23166
GATA3	6.8412056
ACSS3	5.4547553
ECHDC3	6.1644793
MLST8	6.4463573
THUMPD2	6.5084786
AK2	7.9824014
POLL	5.871647
ZNF692	6.6724586
MRM1	5.6613636
MED21	7.12603
ALPL	5.392445
CACNB3	6.2124352
RNF121	6.069474
RO60	8.421164
DNA2	5.9175854
SH3BGRL	8.723041
LZTS3	6.1012154
FAM114A2	6.682671
MARCHF8	7.348939
SLC43A3	6.917728
NUFIP1	6.513992
DOCK2	6.3072057
PRPF18	7.090376
COLQ	5.034911
POP7	7.3154144
ASPHD1	5.9923787
FBRS	6.4885893
BRWD1	6.795505
NAB2	6.1996746
CASD1	6.677444
MMP27	4.3746057
ANP32B	9.389175
ITIH3	4.6674914
WDR3	7.2250786
TMEM176B	6.5454464
GRK5	6.9744
DOCK4	6.522367
PSMD11	7.9719143
MAZ	7.609178
CD53	7.8620524
KRT5	5.3629923
DRG1	7.9927597
WWP2	6.991864
CRABP2	6.3292723
BSN	4.2145686
ALDH8A1	4.8017225
DENND4B	7.4051237
